_id,type,level,miliseconds,action
443,4,87,1.58E+12,Fwd
444,5,50,1.58E+12,No
445,22,40,1.58E+12,No
446,4,100,1.58E+12,Fwd
447,5,53,1.58E+12,No
448,22,36,1.58E+12,No
449,22,41,1.58E+12,No
450,4,94,1.58E+12,Fwd
451,5,61,1.58E+12,Left
452,4,77,1.58E+12,Fwd
453,5,48,1.58E+12,No
454,4,80,1.58E+12,Fwd
455,5,41,1.58E+12,No
456,4,83,1.58E+12,Fwd
457,5,26,1.58E+12,No
458,22,36,1.58E+12,No
459,4,66,1.58E+12,Fwd
460,5,8,1.58E+12,No
461,4,78,1.58E+12,Fwd
462,5,17,1.58E+12,No
463,4,83,1.58E+12,Fwd
464,5,21,1.58E+12,No
465,22,61,1.58E+12,Stop
466,4,66,1.58E+12,Fwd
467,5,29,1.58E+12,No
468,22,43,1.58E+12,No
469,4,64,1.58E+12,Fwd
470,5,30,1.58E+12,No
471,22,39,1.58E+12,No
472,22,40,1.58E+12,No
473,22,44,1.58E+12,No
474,4,64,1.58E+12,Fwd
475,5,35,1.58E+12,No
476,22,47,1.58E+12,No
477,22,44,1.58E+12,No
478,4,47,1.58E+12,No
479,5,34,1.58E+12,No
480,22,49,1.58E+12,No
481,4,60,1.58E+12,Fwd
482,5,34,1.58E+12,No
483,22,38,1.58E+12,No
484,22,39,1.58E+12,No
485,22,47,1.58E+12,No
486,4,70,1.58E+12,Fwd
487,5,37,1.58E+12,No
488,4,56,1.58E+12,No
489,5,20,1.58E+12,No
490,4,80,1.58E+12,Fwd
491,5,16,1.58E+12,No
492,22,34,1.58E+12,No
493,22,127,1.58E+12,Stop
494,4,56,1.58E+12,No
495,5,4,1.58E+12,No
496,22,42,1.58E+12,No
497,4,63,1.58E+12,Fwd
498,5,7,1.58E+12,No
499,22,41,1.58E+12,No
500,4,64,1.58E+12,Fwd
501,5,13,1.58E+12,No
502,22,41,1.58E+12,No
503,22,39,1.58E+12,No
504,4,51,1.58E+12,No
505,5,21,1.58E+12,No
506,4,77,1.58E+12,Fwd
507,5,35,1.58E+12,No
508,4,80,1.58E+12,Fwd
509,5,47,1.58E+12,No
510,22,46,1.58E+12,No
511,22,59,1.58E+12,No
512,4,88,1.58E+12,Fwd
513,5,50,1.58E+12,No
514,4,78,1.58E+12,Fwd
515,5,37,1.58E+12,No
516,4,57,1.58E+12,No
517,5,16,1.58E+12,No
518,4,57,1.58E+12,No
519,5,7,1.58E+12,No
520,4,69,1.58E+12,Fwd
521,5,17,1.58E+12,No
522,4,75,1.58E+12,Fwd
523,5,23,1.58E+12,No
524,4,83,1.58E+12,Fwd
525,5,29,1.58E+12,No
526,22,61,1.58E+12,Stop
527,22,58,1.58E+12,No
528,4,80,1.58E+12,Fwd
529,5,41,1.58E+12,No
530,22,57,1.58E+12,No
531,4,60,1.58E+12,Fwd
532,5,24,1.58E+12,No
533,22,40,1.58E+12,No
534,22,52,1.58E+12,No
535,22,49,1.58E+12,No
536,22,43,1.58E+12,No
537,4,69,1.58E+12,Fwd
538,5,24,1.58E+12,No
539,22,38,1.58E+12,No
540,22,57,1.58E+12,No
541,4,63,1.58E+12,Fwd
542,5,30,1.58E+12,No
543,22,40,1.58E+12,No
544,4,66,1.58E+12,Fwd
545,5,26,1.58E+12,No
546,4,64,1.58E+12,Fwd
547,5,34,1.58E+12,No
548,4,63,1.58E+12,Fwd
549,5,40,1.58E+12,No
550,4,88,1.58E+12,Fwd
551,5,30,1.58E+12,No
552,4,81,1.58E+12,Fwd
553,5,23,1.58E+12,No
554,4,93,1.58E+12,Fwd
555,5,24,1.58E+12,No
556,4,100,1.58E+12,Fwd
557,5,7,1.58E+12,No
558,4,100,1.58E+12,Fwd
559,5,17,1.58E+12,No
560,4,94,1.58E+12,Fwd
561,5,23,1.58E+12,No
562,4,100,1.58E+12,Fwd
563,5,21,1.58E+12,No
564,4,100,1.58E+12,Fwd
565,5,41,1.58E+12,No
566,4,100,1.58E+12,Fwd
567,5,54,1.58E+12,No
568,22,36,1.58E+12,No
569,4,100,1.58E+12,Fwd
570,5,54,1.58E+12,No
571,4,91,1.58E+12,Fwd
572,5,57,1.58E+12,No
573,22,40,1.58E+12,No
574,4,64,1.58E+12,Fwd
575,5,56,1.58E+12,No
